id,city,date,team1,team2,toss_winner,toss_decision,winner,player_of_match,venue
1,Bangalore,4/18/2008,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,BB McCullum,M Chinnaswamy Stadium
2,Chandigarh,4/19/2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,MEK Hussey,"Punjab Cricket Association Stadium, Mohali"
3,Delhi,4/19/2008,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Delhi Daredevils,MF Maharoof,Feroz Shah Kotla
4,Mumbai,4/20/2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,MV Boucher,Wankhede Stadium
5,Kolkata,4/20/2008,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,Kolkata Knight Riders,DJ Hussey,Eden Gardens
6,Jaipur,4/21/2008,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Rajasthan Royals,SR Watson,Sawai Mansingh Stadium
7,Hyderabad,4/22/2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,V Sehwag,"Rajiv Gandhi International Stadium, Uppal"
8,Chennai,4/23/2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,ML Hayden,"MA Chidambaram Stadium, Chepauk"
9,Hyderabad,4/24/2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,YK Pathan,"Rajiv Gandhi International Stadium, Uppal"
10,Chandigarh,4/25/2008,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali"
11,Bangalore,4/26/2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,SR Watson,M Chinnaswamy Stadium
12,Chennai,4/26/2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,JDP Oram,"MA Chidambaram Stadium, Chepauk"
13,Mumbai,4/27/2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,AC Gilchrist,Dr DY Patil Sports Academy
14,Chandigarh,4/27/2008,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,SM Katich,"Punjab Cricket Association Stadium, Mohali"
15,Bangalore,4/28/2008,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,MS Dhoni,M Chinnaswamy Stadium
16,Kolkata,4/29/2008,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,ST Jayasuriya,Eden Gardens
17,Delhi,4/30/2008,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,GD McGrath,Feroz Shah Kotla
18,Hyderabad,05-01-2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,SE Marsh,"Rajiv Gandhi International Stadium, Uppal"
19,Jaipur,05-01-2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,SA Asnodkar,Sawai Mansingh Stadium
20,Chennai,05-02-2008,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,V Sehwag,"MA Chidambaram Stadium, Chepauk"
21,Hyderabad,5/25/2008,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal"
22,Chandigarh,05-03-2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,IK Pathan,"Punjab Cricket Association Stadium, Mohali"
23,Mumbai,05-04-2008,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,SM Pollock,Dr DY Patil Sports Academy
24,Jaipur,05-04-2008,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Sohail Tanvir,Sawai Mansingh Stadium
25,Bangalore,05-05-2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,S Sreesanth,M Chinnaswamy Stadium
26,Chennai,05-06-2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,AC Gilchrist,"MA Chidambaram Stadium, Chepauk"
27,Mumbai,05-07-2008,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,A Nehra,Dr DY Patil Sports Academy
28,Delhi,05-08-2008,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,MS Dhoni,Feroz Shah Kotla
29,Kolkata,05-08-2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,SC Ganguly,Eden Gardens
30,Jaipur,05-09-2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,YK Pathan,Sawai Mansingh Stadium
31,Bangalore,5/28/2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,CRD Fernando,M Chinnaswamy Stadium
32,Chennai,05-10-2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Chennai Super Kings,L Balaji,"MA Chidambaram Stadium, Chepauk"
33,Hyderabad,05-11-2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal"
34,Jaipur,05-11-2008,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,SR Watson,Sawai Mansingh Stadium
35,Chandigarh,05-12-2008,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,SE Marsh,"Punjab Cricket Association Stadium, Mohali"
36,Kolkata,5/13/2008,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,Shoaib Akhtar,Eden Gardens
37,Mumbai,5/14/2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,ST Jayasuriya,Wankhede Stadium
38,Chandigarh,5/28/2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,SE Marsh,"Punjab Cricket Association Stadium, Mohali"
